Scenario,TradingDate,Symbol,Price,Score,Target,StopLoss,ExpProfit,SMA20,vsSMA20,YTD,LastMonth,Price5d,PnL5d,Price10d,PnL10d,MaxPrice10d,Status
10%/10d,2026-03-06,GLW,123.28,81,133.15,113.28,8.0,135.12,Under,38.3,0.9,129.12,4.74,124.68,1.14,139.63,HIT TARGET
10%/10d,2026-03-06,KLAC,1344.55,72,1438.16,1270.04,7.0,1421.64,Under,6.5,-6.8,1419.08,5.54,1499.63,11.53,1535.0,HIT TARGET
10%/10d,2026-03-06,FCX,59.33,68,62.87,55.91,6.0,62.6,Under,14.7,-2.2,56.36,-5.01,52.1,-12.19,63.12,HIT TARGET
10%/10d,2026-03-04,ALB,168.34,80,177.75,155.77,5.6,170.47,Under,18.1,-0.1,167.97,-0.22,165.82,-1.5,173.64,MISSED
10%/10d,2026-03-04,TER,305.19,78,323.55,283.07,6.0,310.52,Under,49.8,13.5,301.96,-1.06,300.09,-1.67,312.62,MISSED
10%/10d,2026-03-04,SLVR,74.67,54,78.91,68.94,5.7,76.29,Under,33.2,10.1,70.28,-5.88,57.68,-22.75,74.34,STOPPED OUT
10%/10d,2026-03-04,CAT,732.17,52,751.47,705.68,2.6,735.02,Under,24.8,5.8,707.63,-3.35,693.62,-5.27,730.79,STOPPED OUT
10%/10d,2026-03-04,AMAT,357.77,74,374.33,343.5,4.6,360.04,Under,33.9,20.3,351.0,-1.89,349.39,-2.34,357.86,MISSED
10%/10d,2026-03-04,GLW,144.84,73,153.26,131.95,5.8,150.21,Under,62.4,32.0,131.78,-9.02,129.82,-10.37,143.35,STOPPED OUT
10%/10d,2026-03-04,KLAC,1476.29,62,1533.9,1403.2,3.9,1479.3,Under,17.0,13.0,1465.0,-0.76,1482.23,0.4,1512.05,MISSED
10%/10d,2026-03-04,FCX,65.92,60,68.45,61.38,3.8,66.16,Under,27.4,6.5,61.51,-6.69,55.45,-15.88,64.3,STOPPED OUT
10%/10d,2026-03-04,LUV,47.13,54,48.63,45.07,3.2,47.64,Under,14.0,-10.4,41.83,-11.25,40.17,-14.77,46.62,STOPPED OUT
10%/10d,2026-03-04,ON,62.52,53,64.62,59.95,3.4,64.15,Under,11.5,0.7,59.23,-5.26,60.46,-3.29,62.41,MISSED
10%/10d,2026-03-02,MRNA,52.84,77,58.66,48.93,11.0,52.25,Above,70.1,24.2,55.75,5.51,53.31,0.89,59.55,HIT TARGET
10%/10d,2026-03-02,SLVR,81.56,72,87.61,77.2,7.4,80.68,Above,45.5,29.6,70.23,-13.89,62.81,-22.99,76.27,STOPPED OUT
10%/10d,2026-03-02,LLY,1017.34,48,1047.63,998.64,3.0,1026.63,Under,-4.6,-2.5,1008.44,-0.87,988.86,-2.8,1020.01,STOPPED OUT
10%/10d,2026-03-02,MRK,121.35,48,124.86,119.5,2.9,121.5,Under,15.4,7.0,117.12,-3.49,115.42,-4.89,120.97,STOPPED OUT
10%/10d,2026-03-02,BIIB,187.95,48,193.36,184.72,2.9,189.06,Under,6.5,4.9,188.3,0.19,183.26,-2.5,192.99,STOPPED OUT
10%/10d,2026-03-02,LUV,48.27,61,50.51,46.35,4.6,49.32,Under,16.7,-2.7,43.04,-10.83,40.22,-16.68,48.39,STOPPED OUT
